encoder.body.blocks.23.norm1.weight	torch.Size([512])
encoder.body.blocks.23.norm1.bias	torch.Size([512])
encoder.body.blocks.23.attn.q_bias	torch.Size([512])
encoder.body.blocks.23.attn.v_bias	torch.Size([512])
encoder.body.blocks.23.attn.q_proj.weight	torch.Size([512, 512])
encoder.body.blocks.23.attn.k_proj.weight	torch.Size([512, 512])
encoder.body.blocks.23.attn.v_proj.weight	torch.Size([512, 512])
encoder.body.blocks.23.attn.proj.weight	torch.Size([512, 512])
encoder.body.blocks.23.attn.proj.bias	torch.Size([512])
encoder.body.blocks.23.norm2.weight	torch.Size([512])
encoder.body.blocks.23.norm2.bias	torch.Size([512])
encoder.body.blocks.23.mlp.w1.weight	torch.Size([1536, 512])
encoder.body.blocks.23.mlp.w1.bias	torch.Size([1536])
encoder.body.blocks.23.mlp.w2.weight	torch.Size([1536, 512])
encoder.body.blocks.23.mlp.w2.bias	torch.Size([1536])
encoder.body.blocks.23.mlp.ffn_ln.weight	torch.Size([1536])
encoder.body.blocks.23.mlp.ffn_ln.bias	torch.Size([1536])
encoder.body.blocks.23.mlp.w3.weight	torch.Size([512, 1536])
encoder.body.blocks.23.mlp.w3.bias	torch.Size([512])
encoder.body.blocks.24.gamma_1	torch.Size([512])
encoder.body.blocks.24.gamma_2	torch.Size([512])
encoder.body.blocks.24.norm1.weight	torch.Size([512])
encoder.body.blocks.24.norm1.bias	torch.Size([512])
encoder.body.blocks.24.attn.q_bias	torch.Size([512])
encoder.body.blocks.24.attn.v_bias	torch.Size([512])
encoder.body.blocks.24.attn.q_proj.weight	torch.Size([512, 512])
encoder.body.blocks.24.attn.k_proj.weight	torch.Size([512, 512])
encoder.body.blocks.24.attn.v_proj.weight	torch.Size([512, 512])
encoder.body.blocks.24.attn.proj.weight	torch.Size([512, 512])
encoder.body.blocks.24.attn.proj.bias	torch.Size([512])
encoder.body.blocks.24.norm2.weight	torch.Size([512])
encoder.body.blocks.24.norm2.bias	torch.Size([512])
encoder.body.blocks.24.mlp.w1.weight	torch.Size([1536, 512])
encoder.body.blocks.24.mlp.w1.bias	torch.Size([1536])
encoder.body.blocks.24.mlp.w2.weight	torch.Size([1536, 512])
encoder.body.blocks.24.mlp.w2.bias	torch.Size([1536])
encoder.body.blocks.24.mlp.ffn_ln.weight	torch.Size([1536])
encoder.body.blocks.24.mlp.ffn_ln.bias	torch.Size([1536])
encoder.body.blocks.24.mlp.w3.weight	torch.Size([512, 1536])
encoder.body.blocks.24.mlp.w3.bias	torch.Size([512])
encoder.body.blocks.25.gamma_1	torch.Size([512])
encoder.body.blocks.25.gamma_2	torch.Size([512])
encoder.body.blocks.25.norm1.weight	torch.Size([512])
encoder.body.blocks.25.norm1.bias	torch.Size([512])
encoder.body.blocks.25.attn.q_bias	torch.Size([512])
encoder.body.blocks.25.attn.v_bias	torch.Size([512])
encoder.body.blocks.25.attn.q_proj.weight	torch.Size([512, 512])
encoder.body.blocks.25.attn.k_proj.weight	torch.Size([512, 512])
encoder.body.blocks.25.attn.v_proj.weight	torch.Size([512, 512])
encoder.body.blocks.25.attn.proj.weight	torch.Size([512, 512])
encoder.body.blocks.25.attn.proj.bias	torch.Size([512])
encoder.body.blocks.25.norm2.weight	torch.Size([512])
encoder.body.blocks.25.norm2.bias	torch.Size([512])
encoder.body.blocks.25.mlp.w1.weight	torch.Size([1536, 512])
encoder.body.blocks.25.mlp.w1.bias	torch.Size([1536])
encoder.body.blocks.25.mlp.w2.weight	torch.Size([1536, 512])
encoder.body.blocks.25.mlp.w2.bias	torch.Size([1536])
encoder.body.blocks.25.mlp.ffn_ln.weight	torch.Size([1536])
encoder.body.blocks.25.mlp.ffn_ln.bias	torch.Size([1536])
encoder.body.blocks.25.mlp.w3.weight	torch.Size([512, 1536])
